Date,Open,High,Low,Close,Adj Close,Volume,monthly returns,mr%,,,
01-08-2013,1689.420044,1709.670044,1627.469971,1632.969971,1632.969971,64802810000,-56.450073,-3.456895963,,,3.302102204
01-09-2013,1635.949951,1729.859985,1633.410034,1681.550049,1681.550049,66174410000,45.600098,2.71178952,,,3.328585958
01-10-2013,1682.410034,1775.219971,1646.469971,1756.540039,1756.540039,76647400000,74.130005,4.220228595,,,3.347704678
01-11-2013,1758.699951,1813.550049,1746.199951,1805.810059,1805.810059,63628190000,47.110108,2.608807486,,,3.361055023
01-12-2013,1806.550049,1849.439941,1767.98999,1848.359985,1848.359985,64958820000,41.809936,2.262001793,,,3.389931294
01-01-2014,1845.859985,1850.839966,1770.449951,1782.589966,1782.589966,75871910000,-63.270019,-3.549331041,,,3.394475968
01-02-2014,1782.680054,1867.920044,1737.920044,1859.449951,1859.449951,69725590000,76.769897,4.128634759,,,3.399011643
01-03-2014,1857.680054,1883.969971,1834.439941,1872.339966,1872.339966,71885030000,14.659912,0.782972765,,,3.416452275
01-04-2014,1873.959961,1897.280029,1814.359985,1883.949951,1883.949951,71595810000,9.98999,0.530268333,,,3.427490065
01-05-2014,1884.390015,1924.030029,1859.790039,1923.569946,1923.569946,63623630000,39.179931,2.036834225,,,3.457674079
01-06-2014,1923.869995,1968.170044,1915.97998,1960.22998,1960.22998,63283380000,36.359985,1.85488363,,,3.471948672
01-07-2014,1962.290039,1991.390015,1930.670044,1930.670044,1930.670044,66524690000,-31.619995,-1.637773119,,,3.47375965
01-08-2014,1929.800049,2005.040039,1904.780029,2003.369995,2003.369995,58131140000,73.569946,3.672309468,,,3.481811584
01-09-2014,2004.069946,2019.26001,1964.040039,1972.290039,1972.290039,66706000000,-31.779907,-1.611320159,,,3.494565647
01-10-2014,1971.439941,2018.189941,1820.660034,2018.050049,2018.050049,93714040000,46.610108,2.309660656,,,3.543697824
01-11-2014,2018.209961,2075.76001,2001.01001,2067.560059,2067.560059,63600190000,49.350098,2.386876153,,,3.552177103
01-12-2014,2065.780029,2093.550049,1972.560059,2058.899902,2058.899902,80743820000,-6.880127,-0.334165201,,,3.553178337
01-01-2015,2058.899902,2072.360107,1988.119995,1994.98999,1994.98999,77330040000,-63.909912,-3.203520435,,,3.560881271
01-02-2015,1996.670044,2119.590088,1980.900024,2104.5,2104.5,68775560000,107.829956,5.12378028,,,3.619422356
01-03-2015,2105.22998,2117.52002,2039.689941,2067.889893,2067.889893,76675850000,-37.340087,-1.805709633,,,3.655691145
01-04-2015,2067.629883,2125.919922,2048.379883,2085.51001,2085.51001,72060940000,17.880127,0.857350332,,,3.672309468
01-05-2015,2087.379883,2134.719971,2067.929932,2107.389893,2107.389893,65187730000,20.01001,0.949516274,,,3.692160604
01-06-2015,2108.639893,2129.870117,2056.320068,2063.110107,2063.110107,73213980000,-45.529786,-2.206851968,,,3.714434877
01-07-2015,2067,2132.820068,2044.02002,2103.840088,2103.840088,77920590000,36.840088,1.751087842,,,3.716072056
01-08-2015,2104.48999,2112.659912,1867.01001,1972.180054,1972.180054,84626790000,-132.309936,-6.708816253,,,3.734542875
01-09-2015,1970.089966,2020.859985,1871.910034,1920.030029,1920.030029,79989370000,-50.059937,-2.607247608,,,3.774069291
01-10-2015,1919.650024,2094.320068,1893.699951,2079.360107,2079.360107,85844900000,159.710083,7.680732282,,,3.794188006
01-11-2015,2080.76001,2116.47998,2019.390015,2080.409912,2080.409912,75943590000,-0.350098,-0.016828318,,,3.821122742
01-12-2015,2082.929932,2104.27002,1993.26001,2043.939941,2043.939941,83649260000,-38.989991,-1.907589857,,,3.838758861
01-01-2016,2038.199951,2038.199951,1812.290039,1940.23999,1940.23999,92409770000,-97.959961,-5.048857951,,,3.855164874
01-02-2016,1936.939941,1962.959961,1810.099976,1932.22998,1932.22998,93049560000,-4.709961,-0.243757785,,,3.878321363
01-03-2016,1937.089966,2072.209961,1937.089966,2059.73999,2059.73999,92639420000,122.650024,5.954636245,,,3.89769938
01-04-2016,2056.620117,2111.050049,2033.800049,2065.300049,2065.300049,81124990000,8.679932,0.420274623,,,3.939391892
01-05-2016,2067.169922,2103.47998,2025.910034,2096.949951,2096.949951,78883600000,29.780029,1.420159264,,,3.943042304
01-06-2016,2093.939941,2120.550049,1991.680054,2098.860107,2098.860107,86852700000,4.920166,0.234420864,,,3.953431161
01-07-2016,2099.340088,2177.090088,2074.02002,2173.600098,2173.600098,69530250000,74.26001,3.416452275,,,3.992085971
01-08-2016,2173.149902,2193.810059,2147.580078,2170.949951,2170.949951,75610310000,-2.199951,-0.101335869,,,4.021364617
01-09-2016,2171.330078,2187.870117,2119.120117,2168.27002,2168.27002,77023620000,-3.060058,-0.141129009,,,4.080283418
01-10-2016,2164.330078,2169.600098,2114.719971,2126.149902,2126.149902,72915530000,-38.180176,-1.795742434,,,4.088088038
